wavelength (nm);29/5/2023;29/5/2023;29/5/2023;29/5/2023
776.5;0.08600;0.07800;0.06100;-0.16400
777;0.00700;-0.10000;0.02500;-0.16300
777.5;0.01600;-0.09300;0.04100;-0.12300
778;0.00700;-0.18400;-0.09000;-0.17200
778.5;-0.11900;-0.13700;-0.23100;-0.26400
779;-0.20000;-0.26500;-0.39700;-0.33900
779.5;-0.09000;-0.28900;-0.50000;-0.33200
780;-0.11000;-0.23800;-0.45200;-0.29300
780.5;-0.05200;-0.27700;-0.27600;-0.22900
781;0.01000;-0.30700;-0.18400;-0.29100
781.5;-0.07000;-0.37400;-0.05200;-0.23300
782;-0.19000;-0.49500;0.12900;-0.10000
782.5;-0.30300;-0.47900;0.34500;-0.01900
783;-0.30400;-0.40000;0.28900;-0.01300
783.5;-0.41200;-0.36900;0.20100;-0.05500
784;-0.32600;-0.18900;0.10800;-0.10600
784.5;-0.18300;0.03800;0.12200;-0.10300
785;-0.18200;0.00600;0.16100;0.01300
785.5;-0.11300;-0.01300;0.14000;-0.03100
786;-0.04000;-0.03300;0.03900;-0.05200
786.5;0.04400;-0.12300;-0.00800;-0.08600
787;-0.04300;-0.30400;-0.08800;-0.09600
787.5;-0.02400;-0.36800;-0.25000;-0.24100
788;0.07100;-0.28200;-0.47300;-0.44400
788.5;0.07400;-0.29900;-0.62400;-0.68200
789;0.20500;-0.20900;-0.74500;-0.78400
789.5;0.22500;-0.26400;-0.73200;-0.75200
790;0.14100;-0.38600;-0.64500;-0.60300
790.5;-0.00700;-0.39900;-0.52900;-0.57900
791;-0.17200;-0.54300;-0.21400;-0.33300
791.5;-0.19200;-0.59600;-0.03900;-0.28500
792;-0.25800;-0.57900;0.07600;-0.21900
792.5;-0.28500;-0.52200;0.07700;-0.23300
793;-0.23900;-0.34900;-0.10300;-0.41500
793.5;-0.23400;-0.34400;-0.13800;-0.49100
794;-0.16100;-0.30200;-0.34900;-0.58900
794.5;0.04800;-0.21300;-0.47600;-0.63000
795;0.27600;0.00200;-0.59300;-0.66900
795.5;0.32000;0.02700;-0.54300;-0.58700
796;0.35700;0.08500;-0.45700;-0.47700
796.5;0.56500;0.28100;-0.56400;-0.55600
797;0.65300;0.46200;-0.66600;-0.61700
797.5;0.51600;0.44200;-0.76400;-0.68700
798;0.37400;0.48600;-0.86900;-0.74900
798.5;0.14200;0.35700;-0.64700;-0.60000
799;-0.09500;0.12900;-0.41300;-0.51000
799.5;-0.11400;-0.04800;-0.12900;-0.38800
800;-0.21700;-0.17700;0.08600;-0.28000
800.5;-0.23900;-0.23400;0.29400;-0.17100
801;-0.06700;-0.13200;0.18000;-0.28400
801.5;0.01000;-0.06000;-0.10600;-0.53200
802;0.00300;-0.00500;-0.25000;-0.73000
802.5;0.05000;0.14200;-0.47300;-0.92400
803;0.13400;0.32900;-0.68900;-1.03300
803.5;0.10900;0.22300;-0.67300;-1.01700
804;0.06700;0.01300;-0.54500;-0.84500
804.5;0.05800;-0.08400;-0.41800;-0.65600
805;0.06800;-0.18200;-0.42000;-0.58900
805.5;0.30900;-0.07600;-0.52800;-0.66500
806;0.54900;0.09500;-0.78600;-0.83500
806.5;0.39600;0.15800;-0.91100;-0.95700
807;0.22600;0.13100;-0.74200;-0.88400
807.5;0.13600;0.19400;-0.72200;-0.90400
808;0.05700;0.21300;-0.71200;-0.86800
808.5;-0.08600;0.00700;-0.66400;-0.84100
809;-0.26600;-0.20900;-0.50100;-0.74400
809.5;-0.38500;-0.41200;-0.26500;-0.57200
810;-0.31000;-0.56000;-0.31800;-0.56700
810.5;-0.11600;-0.58700;-0.49200;-0.64300
811;-0.01800;-0.49400;-0.70300;-0.78900
811.5;-0.02200;-0.34200;-0.68800;-0.78300
812;-0.03300;-0.24500;-0.55100;-0.59800
812.5;0.00700;-0.11100;-0.58900;-0.52000
813;-0.04600;0.00600;-0.46200;-0.37700
813.5;0.01200;0.18500;-0.35400;-0.32100
814;0.01000;0.18100;-0.21600;-0.27100
814.5;0.07100;0.25200;-0.04900;-0.13400
815;0.19500;0.33400;-0.09900;-0.19300
815.5;0.40700;0.37200;-0.25600;-0.40900
816;0.58800;0.59400;-0.50400;-0.76200
816.5;0.62300;0.71300;-0.53300;-0.86400
817;0.48700;0.67600;-0.46600;-0.81800
817.5;0.25300;0.34700;-0.41500;-0.71200
818;-0.12300;0.02900;-0.13800;-0.48100
818.5;-0.25100;-0.08200;-0.04200;-0.30100
819;-0.48500;-0.29600;0.03800;-0.12900
819.5;-0.55800;-0.23800;0.16200;0.04700
820;-0.53600;-0.22400;0.26200;0.14300
820.5;-0.28700;-0.15900;0.19000;0.08700
821;0.06100;0.11700;-0.03200;-0.15800
821.5;0.27300;0.22300;-0.09400;-0.25900
822;0.46900;0.28900;-0.09100;-0.31100
822.5;0.55700;0.17100;-0.08600;-0.34100
823;0.45100;-0.04300;-0.08900;-0.32400
823.5;0.42400;-0.08100;-0.15300;-0.38700
824;0.33000;-0.12700;-0.16000;-0.41100
824.5;0.19300;-0.20200;-0.13900;-0.37200
825;0.02000;-0.32900;-0.15100;-0.33400
825.5;-0.01600;-0.34100;-0.23300;-0.35500
826;-0.04600;-0.29400;-0.27400;-0.36400
826.5;-0.11400;-0.30900;-0.20200;-0.25100
827;-0.13700;-0.31100;-0.05700;-0.10200
827.5;-0.15500;-0.28000;0.03700;0.02100
828;-0.22300;-0.35600;0.08600;0.06500
828.5;-0.15000;-0.32300;0.11400;0.08600
829;-0.03300;-0.22900;0.15900;0.07100
829.5;-0.00200;-0.17400;0.07500;-0.01800
830;0.09300;-0.01800;-0.07200;-0.10200
830.5;0.20100;0.18900;-0.19300;-0.24000
831;0.33100;0.30700;-0.39100;-0.37600
831.5;0.45100;0.34800;-0.53600;-0.50800
832;0.45600;0.42600;-0.73900;-0.70600
832.5;0.48400;0.47600;-0.97400;-0.90000
833;0.46200;0.39800;-1.09700;-1.06400
833.5;0.53700;0.35700;-1.18200;-1.05800
834;0.54600;0.38800;-1.11900;-1.06300
834.5;0.44400;0.35600;-0.99700;-1.02300
835;0.29000;0.35400;-0.71000;-0.86100
835.5;0.26000;0.32000;-0.40600;-0.70300
836;0.29800;0.21400;-0.28000;-0.57500
836.5;0.31800;0.01900;-0.11400;-0.49700
837;0.28400;0.01300;-0.13600;-0.46000
837.5;0.24100;-0.06100;-0.20000;-0.41200
838;0.17500;-0.16200;-0.19400;-0.32400
838.5;0.18300;-0.11800;-0.39000;-0.37400
839;0.12400;-0.04400;-0.57100;-0.51600
839.5;-0.09000;-0.00700;-0.68200;-0.53100
840;-0.15900;0.03300;-0.78800;-0.58200
840.5;-0.04700;0.14600;-0.87900;-0.59200
841;0.02900;0.15700;-0.94700;-0.52900
841.5;0.13400;0.13700;-0.95400;-0.51300
842;0.26200;0.24300;-0.91000;-0.52600
842.5;0.43600;0.18200;-0.80300;-0.54600
843;0.43700;-0.01000;-0.64000;-0.58500
843.5;0.50100;-0.03300;-0.71800;-0.78600
844;0.41000;-0.17400;-0.53300;-0.84500
844.5;0.21000;-0.35900;-0.44000;-0.61800
845;-0.02200;-0.54200;-0.39100;-0.67700
845.5;-0.15900;-0.48800;-0.34000;-0.52100
846;-0.29200;-0.55200;-0.16700;-0.21300
846.5;-0.21000;-0.58900;-0.15500;-0.15400
847;-0.17200;-0.56900;-0.18800;-0.07700
847.5;-0.01100;-0.60000;-0.24800;-0.08700
848;0.14800;-0.56100;-0.33700;-0.23600
848.5;0.39800;-0.45000;-0.46500;-0.33400
849;0.52000;-0.50800;-0.19500;-0.28400
849.5;0.37100;-0.60200;-0.01100;-0.16800
850;0.27400;-0.50300;0.08600;-0.42100
