wavelength (nm);29/5/2023;29/5/2023;29/5/2023;29/5/2023
338.5;11.35000;13.62100;14.05200;17.52600
339;11.19600;13.49000;13.94700;17.36800
339.5;11.00700;13.24200;13.85100;17.25000
340;10.82200;13.07700;13.66700;17.11200
340.5;10.76300;12.96000;13.53800;16.97700
341;10.76000;12.90400;13.39700;16.80300
341.5;10.61000;12.76200;13.28500;16.65500
342;10.51300;12.63600;13.15400;16.49400
342.5;10.35800;12.55000;13.06400;16.40800
343;10.25900;12.43900;12.94800;16.25300
343.5;10.03300;12.27800;12.84500;16.10100
344;9.84000;12.13200;12.78400;15.96500
344.5;9.70300;11.93500;12.70300;15.81400
345;9.57500;11.78600;12.56100;15.64600
345.5;9.56500;11.65600;12.39500;15.45400
346;9.50400;11.53200;12.21500;15.25100
346.5;9.33900;11.34100;12.03600;15.02200
347;9.28300;11.23400;11.87400;14.80000
347.5;9.21600;11.06300;11.69200;14.60400
348;9.14100;10.87800;11.52600;14.36000
348.5;9.03600;10.69800;11.37300;14.18800
349;8.91200;10.50600;11.29700;14.07000
349.5;8.79200;10.34400;11.17600;13.93600
350;8.68000;10.25700;11.05000;13.77700
350.5;8.61500;10.13400;10.89900;13.64000
351;8.42200;10.04700;10.74300;13.48500
351.5;8.27700;9.96200;10.59000;13.29600
352;8.22400;9.84600;10.46600;13.11400
352.5;8.12700;9.73000;10.31700;12.90600
353;8.05500;9.65300;10.13100;12.64600
353.5;7.94300;9.45700;9.97300;12.48200
354;7.79000;9.24100;9.88800;12.31500
354.5;7.56600;9.06700;9.78000;12.14500
355;7.36700;8.93200;9.72300;11.99400
355.5;7.30200;8.83400;9.59300;11.83300
356;7.17900;8.73400;9.47600;11.68500
356.5;7.12800;8.67600;9.35400;11.57800
357;7.11400;8.58600;9.21400;11.41700
357.5;7.05400;8.48800;9.06400;11.24400
358;7.03300;8.41100;8.91800;11.08200
358.5;6.99700;8.21700;8.80500;10.93700
359;6.91400;8.00700;8.76500;10.81300
359.5;6.74500;7.85400;8.71600;10.70000
360;6.65100;7.72300;8.70800;10.60500
360.5;6.63900;7.69900;8.63000;10.50200
361;6.56000;7.60100;8.57100;10.40100
361.5;6.47500;7.53700;8.48300;10.28700
362;6.37200;7.39300;8.36400;10.11400
362.5;6.27400;7.23400;8.25900;9.94900
363;6.17400;7.08200;8.14700;9.80100
363.5;6.14800;6.98700;7.98800;9.64500
364;6.05700;6.88100;7.92000;9.53400
364.5;5.96300;6.78600;7.86400;9.41900
365;5.86700;6.72900;7.81600;9.32100
365.5;5.86700;6.71100;7.74600;9.26900
366;5.81800;6.66900;7.66200;9.14200
366.5;5.73700;6.56300;7.58500;9.02700
367;5.67500;6.45800;7.51600;8.92300
367.5;5.60800;6.42000;7.42700;8.81400
368;5.57800;6.37400;7.26000;8.67900
368.5;5.59100;6.37400;7.08300;8.55600
369;5.49900;6.26800;7.00100;8.47900
369.5;5.39200;6.13500;6.91600;8.37900
370;5.26100;6.02100;6.85200;8.25400
370.5;5.23500;5.87800;6.80700;8.15800
371;5.16400;5.74100;6.79400;8.02700
371.5;5.05900;5.57100;6.81600;7.99300
372;4.99900;5.47300;6.86700;7.93400
372.5;4.95200;5.44700;6.87000;7.82900
373;5.06900;5.48900;6.74200;7.66400
373.5;5.18100;5.45400;6.62900;7.53500
374;5.17500;5.36500;6.54900;7.40800
374.5;5.09100;5.34200;6.48000;7.28700
375;5.02500;5.30100;6.35400;7.14200
375.5;4.97800;5.20200;6.24500;7.00800
376;4.87200;5.12300;6.14500;6.87700
376.5;4.77800;5.05900;6.08700;6.83600
377;4.61400;4.93900;6.07800;6.78700
377.5;4.57800;4.91900;6.06500;6.73400
378;4.60400;4.87700;6.02800;6.66600
378.5;4.62500;4.80100;6.00300;6.61600
379;4.57600;4.71600;5.99800;6.55000
